datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
2011-01-01 00:00:00,4,0,0,1,0.22,0.2248,98,37.6071,33,735,768
2011-01-01 01:00:00,4,0,0,1,0.43,0.4038,98,45.0516,219,69,288
2011-01-01 02:00:00,4,0,0,2,0.33,0.325,99,24.3078,127,806,933
2011-01-01 03:00:00,4,0,0,1,0.07,0.0607,94,4.9814,287,838,1125
2011-01-01 04:00:00,4,0,0,2,0.73,0.7371,76,41.8089,299,851,1150
2011-01-01 05:00:00,4,0,0,1,0.42,0.4033,95,23.8854,342,510,852
2011-01-01 06:00:00,4,0,0,1,0.1,0.0961,62,50.9693,84,880,964
2011-01-01 07:00:00,4,0,0,1,0.79,0.7982,81,14.1764,138,336,474
2011-01-01 08:00:00,4,0,0,1,0.04,0.0494,17,25.944,75,544,619
2011-01-01 09:00:00,4,0,0,4,0.57,0.5668,9,39.6551,2,818,820
2011-01-01 10:00:00,4,0,0,2,0.76,0.7814,79,13.7301,153,44,197
2011-01-01 11:00:00,4,0,0,3,0.39,0.379,86,12.7044,278,33,311
2011-01-01 12:00:00,4,0,0,1,0.58,0.6088,30,40.803,193,46,239
2011-01-01 13:00:00,4,1,0,2,0.07,0.1185,52,10.0765,229,716,945
2011-01-01 14:00:00,4,0,0,3,0.25,0.2759,97,6.6726,52,36,88
2011-01-01 15:00:00,4,0,0,1,0.67,0.698,43,14.5012,175,884,1059
2011-01-01 16:00:00,4,0,0,1,0.79,0.8272,28,45.9384,358,740,1098
2011-01-01 17:00:00,4,0,0,1,0.13,0.0903,48,48.3743,253,130,383
2011-01-01 18:00:00,4,0,0,1,0.97,0.9761,79,5.8457,34,451,485
2011-01-01 19:00:00,4,0,0,1,0.41,0.4272,56,6.1422,91,844,935
2011-01-01 20:00:00,4,0,0,1,0.93,0.9715,93,46.8805,274,777,1051
2011-01-01 21:00:00,4,0,0,1,0.55,0.5833,88,52.972,123,660,783
2011-01-01 22:00:00,4,0,0,1,0.65,0.6389,36,26.8914,77,590,667
2011-01-01 23:00:00,4,0,0,2,0.19,0.1712,47,47.5483,308,466,774
2011-01-02 00:00:00,4,0,0,1,0.89,0.8696,82,49.8036,183,71,254
2011-01-02 01:00:00,4,0,0,2,0.11,0.085,95,20.2015,99,117,216
2011-01-02 02:00:00,4,0,0,2,0.99,0.9709,58,28.2579,261,310,571
2011-01-02 03:00:00,4,0,0,1,0.4,0.4234,11,31.9841,228,237,465
2011-01-02 04:00:00,4,0,0,1,0.18,0.1416,14,43.3912,85,834,919
2011-01-02 05:00:00,4,0,0,2,0.61,0.6335,55,25.7166,24,575,599
2011-01-02 06:00:00,4,0,0,1,0.87,0.8394,78,28.4138,28,721,749
2011-01-02 07:00:00,4,0,0,1,0.41,0.4224,83,4.1721,280,257,537
2011-01-02 08:00:00,4,0,0,1,0.03,0.0396,59,3.0336,257,288,545
2011-01-02 09:00:00,4,0,0,2,0.87,0.8793,69,41.4216,172,550,722
2011-01-02 10:00:00,4,0,0,1,0.59,0.5711,18,27.0065,290,576,866
2011-01-02 11:00:00,4,0,0,1,0.11,0.075,52,5.0194,82,192,274
2011-01-02 12:00:00,4,0,0,1,0.91,0.9392,28,13.4882,196,315,511
2011-01-02 13:00:00,4,0,0,2,0.78,0.7542,61,37.9308,154,16,170
2011-01-02 14:00:00,4,0,0,4,0.54,0.498,26,28.267,245,844,1089
2011-01-02 15:00:00,4,0,0,2,0.46,0.4259,98,44.4817,121,96,217
2011-01-02 16:00:00,4,0,0,1,0.71,0.6714,96,22.0327,17,90,107
2011-01-02 17:00:00,4,0,0,1,0.37,0.3915,82,6.4447,196,313,509
2011-01-02 18:00:00,4,0,0,1,0.66,0.6845,39,14.984,327,95,422
2011-01-02 19:00:00,4,0,0,1,0.17,0.1538,35,6.1575,296,5,301
2011-01-02 20:00:00,4,0,0,1,0.16,0.1865,68,26.9066,363,382,745
2011-01-02 21:00:00,4,0,0,3,0.32,0.3538,19,26.5544,225,562,787
2011-01-02 22:00:00,4,0,0,1,0.89,0.8877,97,4.1447,15,706,721
2011-01-02 23:00:00,4,0,0,3,0.85,0.8827,47,10.7238,17,92,109
2011-01-03 00:00:00,4,0,1,2,0.5,0.5004,70,54.3127,161,823,984
2011-01-03 01:00:00,4,0,1,1,0.59,0.6209,97,55.0755,188,138,326
2011-01-03 02:00:00,4,0,1,1,0.64,0.6341,54,19.1879,331,217,548
2011-01-03 03:00:00,4,0,1,2,0.39,0.3459,57,8.1008,153,867,1020
2011-01-03 04:00:00,4,0,1,1,0.71,0.682,91,10.5495,92,6,98
2011-01-03 05:00:00,4,0,1,3,0.62,0.6004,38,4.5601,253,433,686
2011-01-03 06:00:00,4,0,1,1,0.37,0.3641,85,4.7876,72,697,769
2011-01-03 07:00:00,4,0,1,1,0.3,0.2975,40,10.8072,237,33,270
2011-01-03 08:00:00,4,0,1,2,0.98,1.0276,49,26.3448,157,129,286
2011-01-03 09:00:00,4,0,1,2,0.3,0.2975,58,39.9207,318,674,992
2011-01-03 10:00:00,4,0,1,2,0.19,0.1772,55,8.85,228,720,948
2011-01-03 11:00:00,4,0,1,1,0.84,0.8261,52,23.3488,309,291,600
2011-01-03 12:00:00,4,0,1,1,0.81,0.8486,62,4.7898,266,410,676
2011-01-03 13:00:00,4,0,1,1,0.25,0.2385,40,34.8114,202,619,821
2011-01-03 14:00:00,4,0,1,2,0.85,0.8785,29,24.1198,57,665,722
2011-01-03 15:00:00,4,0,1,2,0.91,0.8849,54,44.7651,127,837,964
2011-01-03 16:00:00,4,0,1,2,0.35,0.3429,84,49.3795,58,583,641
2011-01-03 17:00:00,4,0,1,2,0.34,0.3474,60,13.6285,105,783,888
2011-01-03 18:00:00,4,0,1,1,0.15,0.1564,39,22.4517,102,262,364
2011-01-03 19:00:00,4,0,1,2,0.62,0.628,72,27.8503,234,647,881
2011-01-03 20:00:00,4,0,1,3,0.7,0.7241,35,55.7927,365,122,487
2011-01-03 21:00:00,4,0,1,1,0.09,0.091,12,51.2795,118,0,118
2011-01-03 22:00:00,4,0,1,2,0.22,0.1883,45,54.3146,14,464,478
2011-01-03 23:00:00,4,0,1,1,0.29,0.2981,96,25.9872,301,731,1032
2011-01-04 00:00:00,4,0,1,1,0.46,0.4398,89,55.9763,129,103,232
2011-01-04 01:00:00,4,0,1,1,0.83,0.8101,0,1.8062,176,373,549
2011-01-04 02:00:00,4,0,1,1,0.24,0.2029,59,54.1951,94,585,679
2011-01-04 03:00:00,4,0,1,2,0.81,0.851,1,10.774,254,597,851
2011-01-04 04:00:00,4,0,1,1,0.89,0.8465,35,54.8129,260,487,747
2011-01-04 05:00:00,4,0,1,3,0.22,0.1738,44,25.4723,112,31,143
2011-01-04 06:00:00,4,0,1,3,0.99,1.0125,93,32.4503,152,283,435
2011-01-04 07:00:00,4,0,1,3,0.53,0.5505,79,50.8144,303,51,354
2011-01-04 08:00:00,4,0,1,1,0.56,0.5451,8,55.1202,359,160,519
2011-01-04 09:00:00,4,0,1,1,0.62,0.6441,14,9.6109,74,614,688
2011-01-04 10:00:00,4,0,1,1,0.81,0.8088,38,34.1039,304,785,1089
2011-01-04 11:00:00,4,0,1,3,0.66,0.6828,54,38.8003,52,854,906
2011-01-04 12:00:00,4,0,1,1,0.74,0.7446,58,39.6575,64,359,423
2011-01-04 13:00:00,4,0,1,1,0.45,0.4732,85,11.774,37,604,641
2011-01-04 14:00:00,4,0,1,1,0.6,0.6273,78,3.921,82,661,743
2011-01-04 15:00:00,4,0,1,3,0.26,0.2384,3,21.0695,305,365,670
2011-01-04 16:00:00,4,0,1,3,0.38,0.3685,15,45.4516,346,233,579
2011-01-04 17:00:00,4,0,1,1,0.64,0.6404,10,54.3557,119,433,552
2011-01-04 18:00:00,4,0,1,1,0.06,0.0291,95,24.8989,338,246,584
2011-01-04 19:00:00,4,0,1,1,0.59,0.637,21,51.196,3,397,400
2011-01-04 20:00:00,4,0,1,2,0.56,0.6024,64,40.4493,105,120,225
2011-01-04 21:00:00,4,0,1,1,0.2,0.2277,53,6.6077,157,169,326
2011-01-04 22:00:00,4,0,1,1,0.93,0.8998,89,19.3445,116,208,324
2011-01-04 23:00:00,4,0,1,2,0.1,0.0953,2,41.6857,243,197,440
2011-01-05 00:00:00,4,0,1,1,0.07,0.1127,95,25.045,256,102,358
2011-01-05 01:00:00,4,0,1,2,0.86,0.8712,96,36.7372,352,883,1235
2011-01-05 02:00:00,4,0,1,1,0.84,0.8285,96,42.5385,199,630,829
2011-01-05 03:00:00,4,0,1,2,0.41,0.3692,65,54.9356,149,242,391
